id,category,text
959,0,5573 1189 4017 1207 4768 8542 17 1189 5085 5773
994,0,6315 7507 6700 4742 1944 2692 3647 4413 6700
995,0,5015 8067 5335 1615 7957 5773
996,0,2925 7199 1994 4647 7455 5773 4518 2734 2807 853 8542 2283 753 5107 5922 4355 6054 4608 2199 142 4211 8103 5773 7747
997,0,7136 1207 6781 237 4971 3669 6193
998,0,6730 3349 2325 7714 5773 5172 6254 4097 6500 6927 5107 5045 5773 3533 3255 6254 3225 2325 6110 6912 7732 3283 2698 220 8431 2641 753 5773 4122 4675 5175 8465 5395 5703 4297 6794 5773
999,0,714 4164 5672 8124
1000,0,7674 4947 7671 4335 1587 6589 3669 6254 6517
1001,0,326 4211 8380 7343 6084 779 8542 3485 5141 3078 1976 4108 5922 5439 4973 224 4442 7792 5893
1002,0,6546 6949 1309 528 784 5773
1003,0,7879 3385 230 7350 2963 7473 5773 4456 941 826 739 3078
1005,0,3899 7107 6919 4676 7526
1006,0,2875 7182 4580 2266 3342 1189 3078
1007,0,7113 6739 8095 5597 6739 5441 6739 5483 6739 657 6739 3531 6739 281 6521 7152 1520 546 1256 6300 1484 7526 746 4801 1278 5328 2164
1008,0,5598 230 853 5335 3601 2134 1041 5094 1499 5773 2977 5773
1009,0,8066 4017 6084 2031 2423 4017 1273 2230 2734 3078 6084 5795 237 6794 224 6514 8406 2266 2963 8105 7526
1010,0,1325 8406 163 237 8631
1011,0,7152 1253 237 8125 8631 6465 907 5107 3439 6478 6225 4503 2573 907 8542 6234
1012,0,676 349 25 4017 3730 5894 2734 572 3078 4456 6744 203 6461 4121 3078 6084 7027 7924 2734 230 1939 224 5234 8406 6843 1251 8542 5343 237 4768 2734 942 224 4938
1013,0,4518 2698 2295 1088 2779 4194 237 2176 1444 2734 5300 2347 1994 5045 3078 6254 6658 1834 5773 6521 5869 2121 5107 237 8182 1647 1556 5285 3286 5773
1014,0,7860 4586 7924 7937 791 1543 5143 6655 7526 5828 1240 1008 3547 8256 7986 6270 2240 5773 2698 7519 1846 5658 5071 230 5071 5116 2269 3547 4 5672 48 4976 4144 2440 2734 6254 5773 6521 2612 1444 3647 8542 2513 572 7924 6461 5118 5773 5915 438 254 6086 5773 4518 2734 438 2734 1444 2609 5773 5234 254 237 7860 3604 6300 7860 8584 3302 5071 5273 7526
1015,0,2875 3527 44 2154 5551 3468 3287 8542 1095 572
1016,0,5092 3225 8486 5658 6625 1784 3078 7152 3743 7812 3078 1273 1089 5071 5085 3078
1017,0,5270 4184 8542 7444 105 6527 3078
